,code,name,ss,trade
305,379,PME              HKD   ,15010000,6495700
306,380,CHINA PIPE       HKD   ,720000,23040
307,382,WELLING HOLDING  HKD   ,2238000,3564000
308,383,COL CAPITAL      HKD   ,244000,334240
309,384,CHINA GAS HOLD   HKD   ,5360000,40682470
310,385,CHINNEY ALLI     HKD   ,84000,36090
311,386,SINOPEC CORP     HKD   ,164418912,1496050157
312,388,HKEX             HKD ,2161902,288751892
313,389,TONTINE WINES    HKD   ,7348000,3908140
314,390,CHINA RAILWAY    HKD   ,18519632,73047465
315,391,MEI AH ENTER     HKD   ,1300000,167400
316,392,BEIJING ENT      HKD  ,2165600,131397372
317,393,GLORIOUS SUN     HKD   ,336000,757300
318,395,SINO DRAGON      HKD   ,1072000,156776
319,397,C GOGREEN ASSET  HKD   ,29260000,6026440
320,398,ORIENTAL WATCH   HKD   ,2996000,7179736
321,399,UNITED GENE GP   HKD   ,270200,122836
322,402,MONGOLIA INV     HKD   ,6614400,1646251
323,404,HSIN CHONG CONS  HKD   ,1358000,1595300
324,405,YUEXIU REIT      HKD   ,6294363,27519582
325,406,YAU LEE HOLD     HKD   ,244000,417420
326,408,YIP'S CHEMICAL   HKD   ,348000,2859360
327,410,SOHO CHINA       HKD   ,5454000,35397007
328,412,HERITAGE INT'L   HKD   ,3500022,1662009
329,413,SOUTH CHINA CHI  HKD   ,16000,12480
330,418,FOUNDER HOLD     HKD   ,678000,181690
331,419,JIUHAO HEALTH    HKD   ,14629375,6122931
332,420,FOUNTAIN SET     HKD   ,6194500,5677330
333,422,VMEP HOLDINGS    HKD   ,34000,25940
334,423,HKET HOLDINGS    HKD   ,20000,35200
335,425,MINTH GROUP      HKD  ,878000,9934060
336,430,ORIENTAL EXPL    HKD   ,1390000,131208
337,432,PCPD             HKD   ,225000,649860
338,433,NORTH MINING     HKD   ,46800000,19289600
339,435,SUNLIGHT REIT    HKD   ,1094999,3695256
340,438,IRICO            HKD   ,892000,312720
341,440,DAH SING         HKD  ,44800,1854500
342,444,SINCEREWATCH HK  HKD   ,458000,905450
343,445,CHINA FIRE       HKD   ,365000,55990
344,449,CHIGO HOLDING    HKD   ,6858000,1355736
345,450,HUNG HING PRINT  HKD   ,814000,1055000
346,451,SAME TIME HOLD   HKD   ,614000,4006040
347,455,TIANDA PHARMA    HKD   ,372000,148810
348,456,NEW CITY DEV     HKD   ,3366666,1107499
349,458,TRISTATE HOLD    HKD   ,2000,7600
350,459,MIDLAND IC&amp;I     HKD   ,5760000,274750
351,460,SIHUAN PHARM     HKD   ,24845957,93903024
352,467,UNITEDENERGY GP  HKD   ,2794000,3713420
353,468,GAPACK           HKD   ,232000,1217930
354,469,CAPXON INT'L     HKD   ,64000,10060
355,471,CMMB VISION      HKD   ,9329000,4831480
356,472,JLF INVESTMENT   HKD   ,30000,10900
357,474,HAO TIAN RES GP  HKD   ,44228000,13638680
358,476,SINOCOP RES      HKD   ,1430000,854300
359,477,AUPU GROUP HLDG  HKD   ,640000,437440
360,479,CIL HOLDINGS     HKD   ,540000,56980
361,480,HKR INT'L        HKD   ,582600,2424148
362,482,SANDMARTIN INTL  HKD   ,104000,52360
363,483,BAUHAUS INT'L    HKD   ,86000,98900
364,485,STARLIGHT INT'L  HKD   ,310000,40120
365,486,RUSAL            HKD   ,850000,3363450
366,487,SUCCESSUNIVERSE  HKD   ,52000,9816
367,488,LAI SUN DEV      HKD   ,27680795,6898651
368,489,DONGFENG GROUP   HKD  ,13979863,147765680
369,491,SEE CORPORATION  HKD   ,1981000,144749
370,493,GOME             HKD   ,42841000,38133993
371,494,LI &amp; FUNG        HKD  ,12617743,136210348
372,495,PALADIN          HKD   ,100000,15000
373,497,CSI PROPERTIES   HKD   ,40032354,14552873
374,498,PYI CORP         HKD   ,10289180,1957394
375,500,DVN (HOLDINGS)   HKD   ,478000,143425
376,503,LANSEN PHARMA    HKD   ,240000,524040
377,505,XINGYE COPPER    HKD   ,631000,574240
378,506,CHINA FOODS      HKD   ,6390000,29576680
379,508,DINGYI GP INV    HKD   ,5290000,1311940
380,509,SUNSHINE         HKD   ,1800000,1369850
381,510,CASH FIN SER GP  HKD   ,60000,5220
382,511,TVB              HKD  ,305100,17989843
383,512,CHINAGRANDPHARM  HKD   ,480000,247600
384,513,CONTINENTAL H    HKD   ,1370000,141530
385,515,TC ORI LIGHT     HKD   ,4606000,3731240
386,517,COSCO INTL HOLD  HKD   ,2511600,8360860
387,518,TUNGTEX (HOLD)   HKD   ,24000,18960
388,519,APPLIED DEV      HKD   ,150000,42450
389,521,SHOUGANG TECH    HKD   ,306320,138539
390,522,ASM PACIFIC      HKD  ,1607705,138590858
391,524,E-KONG GROUP     HKD   ,26600,10292
392,525,GUANGSHEN RAIL   HKD   ,4432400,17301094
393,527,CHINA RUIFENG    HKD   ,2964000,4600200
394,528,KINGDOM HOLDING  HKD   ,198000,169480
395,530,GOLDIN FIN HOLD  HKD   ,18784,24417
396,531,SAMSON HOLDING   HKD   ,11059000,16817080
397,533,GOLDLION HOLD    HKD   ,482000,1957360
398,535,GEMDALE PPT      HKD   ,32064000,25512780
399,536,TRADELINK        HKD   ,5554599,8212702
400,538,AJISEN (CHINA)   HKD   ,1149189,7331172
401,539,VICTORY CITY     HKD   ,766348,792048
402,540,SPEEDY GLOBAL    HKD   ,340000,239200
403,542,MORNING STAR     HKD   ,33000,5931
404,543,PACIFIC ONLINE   HKD   ,90000,270280
405,546,FUFENG GROUP     HKD   ,9175440,25416087
406,547,SUN INNOVATION   HKD   ,8800000,1064320
407,548,SHENZHENEXPRESS  HKD   ,3924000,11580240
408,549,QIFENG FIBER     HKD   ,412000,185970
409,550,CINMEDIA         HKD   ,54000,145380
410,551,YUE YUEN IND     HKD  ,2664564,67390797
411,552,CHINACOMSERVICE  HKD   ,9415013,48012592
412,553,NANJING PANDA    HKD   ,2544000,6361320
413,555,REXLOT HOLDINGS  HKD   ,3950000,2699750
414,556,PAN ASIA ENVIRO  HKD   ,200000,109900
415,559,HUA YI COPPER    HKD   ,4852400,2223556
416,560,CHU KONG SHIP    HKD   ,1638000,2466280
417,563,SH IND URBAN     HKD   ,5918000,9092980
418,564,ZMJ              HKD   ,201800,1698404
419,565,ART TEXTILE      HKD   ,25000,10400
420,566,HANERGY SOLAR    HKD   ,48038000,23890140
421,567,DAISHOMICROLINE  HKD   ,66000,16830
422,568,SHANDONG MOLONG  HKD   ,963200,3362860
423,569,CH AUTOMATION    HKD   ,1648000,2761660
424,570,WINTEAM PHARMA   HKD   ,22011956,75795257
425,571,ESUN HOLDINGS    HKD   ,152000,197480
426,572,CHINA PACKAGING  HKD   ,8843045,6384609
427,573,TAO HEUNG HLDGS  HKD   ,140000,624920
428,575,REGENT PACIFIC   HKD   ,10590000,1233970
429,576,ZHEJIANGEXPRESS  HKD   ,3036000,19025130
430,577,PAUL Y. ENG      HKD   ,16798000,12603880
431,578,ROSAN RES        HKD   ,95600,42002
432,579,JNCEC            HKD   ,21590000,53801280
433,580,SUN.KING ELEC    HKD   ,312000,157940
434,581,CHINA ORIENTAL   HKD   ,18000,27180
435,582,GREENFIELD CHEM  HKD   ,8065000,695670
436,585,IMAGI INT'L      HKD   ,10793328,989771
437,587,HUA HAN          HKD   ,9002144,20810111
438,588,BEIJING N STAR   HKD   ,1024000,1907040
439,589,PORTS            HKD   ,4764000,31944985
440,590,LUK FOOK HOLD    HKD  ,1891894,47501751
441,592,BOSSINI INT'L    HKD   ,378000,155460
442,595,AV CONCEPT HOLD  HKD   ,1908000,913330
443,596,INSPUR INT'L     HKD   ,2467000,751160
444,598,SINOTRANS        HKD   ,867000,1387990
445,599,E. BON HOLDINGS  HKD   ,220000,173300
446,601,GROUP SENSE      HKD   ,130000,23656
447,602,JIAHUA STORES H  HKD   ,6272000,2704877
448,603,CHINA OIL &amp; GAS  HKD   ,34740000,52510400
449,604,SHENZHEN INVEST  HKD   ,8140000,25503340
450,605,C FIN SERVICES   HKD   ,2056000,1356060
451,606,CHINA AGRI       HKD   ,16430385,66466860
452,609,TIANDE CHEMICAL  HKD   ,4000,6120
