symbol,date,time,volume,daily_rng,last_price,change,change_pct,52wH,52wH_pct,avg_vol
1628.HK,6/9/2017,3:59pm,17408593,4.07 - 4.22,4.18,0.02,+0.48%,-0.04,-0.95%,9319380.0
1629.HK,6/9/2017,2:52pm,28000,1.43 - 1.49,1.49,-0.01,-0.67%,-0.65,-30.37%,
1632.HK,6/9/2017,3:59pm,2576000,19.60 - 20.10,19.66,-0.3,-1.50%,-5.34,-21.36%,2101410.0
1633.HK,6/9/2017,3:44pm,15000,2.66 - 2.70,2.7,0.04,+1.50%,-2.06,-43.28%,740821.0
1635.HK,6/9/2017,3:51pm,1143000,3.66 - 3.71,3.69,-0.01,-0.27%,-0.26,-6.58%,336851.0
1636.HK,6/9/2017,3:59pm,1120000,2.99 - 3.03,2.99,-0.01,-0.33%,-0.34,-10.21%,1644220.0
1637.HK,6/9/2017,3:53pm,528000,0.72 - 0.74,0.73,-0.02,-2.67%,-1.46,-66.67%,1222420.0
1638.HK,6/9/2017,3:59pm,6106395,2.65 - 2.75,2.71,-0.04,-1.45%,-0.21,-7.19%,27353300.0
1639.HK,6/9/2017,3:57pm,1530000,1.04 - 1.07,1.06,-0.01,-0.93%,-0.09,-7.83%,5914630.0
1647.HK,6/9/2017,3:59pm,695000,0.59 - 0.65,0.6,0.01,+1.69%,-0.57,-48.72%,19783600.0
1655.HK,6/9/2017,3:59pm,2820000,1.29 - 1.31,1.3,-0.01,-0.76%,-0.41,-23.98%,32396600.0
1656.HK,6/9/2017,3:58pm,902000,1.22 - 1.27,1.27,0.04,+3.25%,-0.36,-22.09%,949343.0
1658.HK,6/9/2017,4:08pm,9775000,4.56 - 4.60,4.56,-0.01,-0.22%,-0.62,-11.97%,26028100.0
1660.HK,6/9/2017,3:57pm,16440000,0.25 - 0.27,0.27,0.02,+8.00%,-0.13,-32.50%,5104060.0
1661.HK,6/9/2017,3:59pm,3515000,1.12 - 1.18,1.12,-0.07,-5.88%,-1.76,-61.11%,5890910.0
